Ticker,PeerGroup,OwnershipType,Price,PB_Current,PTBV_Current,PE_Current,ROE_Used,ROA,NIM,NPL,NPL_AsOf,CAR,CAR_AsOf,CIR,LDR,CASA,CASA_AsOf,BVPS_Used,TBVPS,COE,LTG,NormalizedROE_Used,JustifiedPB,PeerPB_Adjusted,HistoricalPBMedian,Fair_ResidualIncome,Fair_JustifiedPB,Fair_PeerPB,Fair_HistoricalPB,FairValue_Bear,FairValue_Base,FairValue_Bull,Upside_Base,ProfitabilityScore,GrowthScore,AssetQualityScore,FundingScore,CapitalScore,ValuationScore,FundamentalScore,InvestmentScore,FundamentalView,InvestmentView,QualityScore,ValueScore,RiskScore,CompositeScore,ValuationView,QualityView,DataCoverage,TotalAssets_Growth,GrossLoans_Growth,CustomerDeposits_Growth,NPAT_Growth,NetInterestIncome_Growth,ReportStatus,ReportStamp,ReportCoverage,CoreMissingCount,CoreMissing,DataAgeDays,QualityWarnings,CanExportOfficial,CanExportDraft,NormalizationFlags,TotalAssets,Equity,TangibleEquity,NPAT,NetInterestIncome,OperatingIncome,ProvisionExpense,GrossLoans,CustomerDeposits,Shares,RetrievedAt,DataType,SourceMode,StrategicIntelligenceType,StrategicPriceLow,StrategicPriceHigh,StrategicPriceMid,StrategicReferenceStake,StrategicAsOfDate,StrategicSource,StrategicConfidence,StrategicNote,StrategicPremiumLow,StrategicPremiumHigh,StrategicVsFundamentalLow,StrategicVsFundamentalHigh,StrategicPrice_5pct,StrategicPrice_10pct,StrategicPrice_20pct,StrategicPrice_32_5pct,StrategicPrice_51pct
TCB,Private large,Private,31.65,1.2261144967,1.2261144967,8.0952574354,0.147648269,0.0226654319,0.0363342376,0.0108228503,2026-Q2,0.1583,2022-Q2,0.3092085877,1.2790980022,0.3502048667,2026-Q2,25.81324997394919,25.81324997394919,0.12875,0.055,0.14823620175,1.2642196847457625,1.2219208967683823,1.5655254468,34.845510398610685,32.63361874432961,31.541749556674418,40.411299698826895,29.296655654932756,34.466653711685595,39.63665176843843,0.08899379815752284,71.66666666666667,81.66666666666667,85.0,57.5,100.0,41.666666666666664,79.16666666666667,71.55,RẤT TỐT,TỐT,76.66666666666667,40.0,85.0,71.55,ATTRACTIVE,HIGH,1.0,0.22689015836667403,0.19290447460620208,0.21532460580202706,0.21725216262498792,0.17794817510547145,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,1273076923000000.0,188997150000000.0,188997150000000.0,7726642000000.0,10763002000000.0,14941781000000.0,,835813283000000.0,662447730000000.0,7321710756713.567,2026-08-22T16:12:03+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
MBB,Private large,Private,20.85,1.2986406226,1.2986406226,6.2654334094,0.2068574322,0.0191319925,0.0389543319,0.0144980955,2026-Q2,0.111,2024-Q2,0.275387713,1.2736407115,0.3461029393,2026-Q2,16.05525011088622,16.05525011088622,0.12875,0.055,0.19264307415,1.8663467681355932,1.4463202831389494,1.4172225936,38.00652520801597,29.964664156061122,23.221033886243607,22.75386320304686,26.13840302293831,30.751062379927422,35.36372173691653,0.4748710973586292,80.0,91.66666666666667,70.0,57.5,47.5,58.333333333333336,69.33333333333334,68.69166666666666,TỐT,TỐT,70.83333333333333,80.0,70.0,68.69166666666666,VERY_ATTRACTIVE,HIGH,1.0,0.34379117123523684,0.3951250173895611,0.23046765472266317,0.40647568756905006,0.3654618688135587,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,1733012662000000.0,156762644000000.0,156762644000000.0,8445473000000.0,16893654000000.0,20434314000000.0,,1210891596000000.0,963815357000000.0,9763949045783.316,2026-08-22T16:12:04+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
TPB,Private mid,Private,14.8,0.8779695861,0.8779695861,5.3245218322,0.165081313,0.0149146267,0.0289891823,0.0185673305,2026-Q2,0.1372,2025-Q2,0.3933194256,1.1721814197,0.2098033524,2026-Q2,16.857075956061983,16.857075956061983,0.14125,0.05,0.16131098475,1.2198464082191782,1.1189538216163146,1.67967062575,22.28696586974935,20.56304355808008,18.862289562312046,28.314335319433912,18.763882130627668,22.075155447797258,25.386428764966844,0.4915645572835985,53.333333333333336,68.33333333333333,44.99999999999999,57.5,73.75,85.0,59.58333333333333,63.57083333333333,TRUNG BÌNH,TỐT,52.083333333333336,85.0,44.99999999999999,63.57083333333333,VERY_ATTRACTIVE,MODERATE,1.0,0.27782829705404755,0.18711222466804123,0.1686624685117315,0.16042056843257635,0.15322094674462328,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,547664403000000.0,49565884000000.0,49565884000000.0,1891026000000.0,3634174000000.0,5195182000000.0,,333970520000000.0,288477683000000.0,2940360720281.122,2026-08-22T16:12:08+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
KLB,Private small,Private,12.55,0.9998091745,0.9998091745,4.5095681727,0.2406941458,0.0193882011,0.0401056713,0.018271515,2026-Q2,0.1186,2025-Q2,0.3562501633,1.049954025,0.058229059,2026-Q2,12.552395317112587,12.552395317112587,0.15375,0.045,0.21802060935,1.5909941089655175,1.0302222242248358,0.9024943876,26.52250207993457,19.970787002932475,12.931756622945143,11.328466324630632,16.904221027591984,19.88731885599057,22.870416684389156,0.5846469207960614,90.0,31.666666666666668,60.0,47.5,45.0,83.33333333333333,54.833333333333336,63.56666666666668,TRUNG BÌNH,TỐT,68.33333333333333,90.0,60.0,63.56666666666668,VERY_ATTRACTIVE,HIGH,1.0,0.17699947259300153,0.11604872001494582,0.010269557222818415,0.15769620101758064,0.139070712464336,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,114911027000000.0,9289228000000.0,9289228000000.0,522657000000.0,1006877000000.0,1339205000000.0,,76323340000000.0,73925014000000.0,740036285133.2498,2026-08-22T16:12:11+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
VCB,State-owned large,SOCB,59.1,1.9442324194,1.9442324194000002,11.5960787244,0.1791575023,0.0166114014,0.0274697447,0.0061066523,2026-Q2,0.1201,2025-Q2,0.3203920384,1.0169754447,0.3392956361,2026-Q2,30.39760031274376,30.39760031274376,0.11750000000000001,0.055,0.171868126725,1.8698900276,1.4444492583,3.7850293536999997,68.02536032387647,56.84016968777019,43.907791225842566,115.05580946577541,57.34109878404877,67.46011621652796,77.57913364900715,0.14145712718321435,60.0,58.333333333333336,95.0,87.5,62.5,25.0,72.66666666666667,62.675,TỐT,TỐT,62.5,45.0,95.0,62.675,ATTRACTIVE,MODERATE,1.0,0.19832102924347472,0.13009548787419445,0.08958180122562953,0.6465257597536642,0.35180095015660795,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,2657440573000000.0,248490506000000.0,248490506000000.0,14550959000000.0,19141761000000.0,26371601000000.0,,1728183370000000.0,1728820567000000.0,8174675087619.463,2026-08-22T16:12:02+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
HDB,Private large,Private,27.3,1.5654678013,1.5654678013,6.8930005158,0.2386735639,0.0204132651,0.0410515519,0.027909106,2026-Q2,0.1202,2025-Q2,0.2409074986,0.9776600377,0.1104385165,2026-Q2,17.438876722555047,17.438876722555047,0.1375,0.055,0.21650517292500002,1.9576384596969696,1.5535708760636815,1.6103715119,47.080247171913584,34.139015765988,27.092530987426386,28.083070273538688,31.448146616461738,36.997819548778516,42.54749248109529,0.35523148530324233,91.66666666666667,93.33333333333333,25.0,62.5,55.0,46.666666666666664,65.5,62.65,TỐT,TỐT,73.33333333333333,70.0,25.0,62.65,VERY_ATTRACTIVE,HIGH,1.0,0.3332998361717787,0.2958445690453464,0.40810189794164486,0.5772075475393621,-0.006757504054828334,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,1045435451000000.0,90226345000000.0,90226345000000.0,5797908000000.0,9752805000000.0,12731260000000.0,,649803170000000.0,674058701000000.0,5173862195109.35,2026-08-22T16:12:05+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
VPB,Private large,Private,25.7,1.1078700096,1.1078700096,6.6258143517,0.1661884394,0.0224475803,0.0524073241,0.0327941385,2026-Q2,0.1381,2025-Q2,0.1964806639,1.3800971531,0.1275303476,2026-Q2,23.19766739536443,23.19766739536443,0.14500000000000002,0.055,0.16214132955,1.190459217222222,1.2963710288530843,1.4059122271,29.62620451175082,27.615876968867,30.072783948320236,32.61388423134186,25.211926900590043,29.661090471282407,34.11025404197476,0.15412803390203922,83.33333333333333,96.66666666666667,9.999999999999998,22.5,95.0,55.0,61.5,60.68333333333333,TỐT,TỐT,74.16666666666667,50.0,10.0,60.68333333333333,ATTRACTIVE,HIGH,1.0,0.3600988508828371,0.40075277299713874,0.2199050577346482,0.77740073105882,0.3334874051141643,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,"NPL ở mức cao; cần kiểm tra nợ nhóm 2, coverage và khả năng clean-up book value.",1502526376000000.0,191215344000000.0,191215344000000.0,8775909000000.0,17973498000000.0,23483634000000.0,,1140006659000000.0,732887440000000.0,8242869454978.495,2026-08-22T16:12:06+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
CTG,State-owned large,SOCB,32.15,1.225805661,1.2258056610000003,6.0708315808,0.2176080705,0.0140766514,0.0268977165,0.0119840842,2026-Q2,0.1029,2025-Q2,0.2408816283,1.10677871,0.2349830174,2026-Q2,26.22764849509044,26.22764849509044,0.125,0.05,0.200706052875,2.0094140383333334,1.591923851406997,1.19925874155,69.8262278317589,52.70220507850685,41.752419205653304,31.45373672803791,46.048398739766625,54.17458675266662,62.30077476556661,0.6850571307205793,56.666666666666664,46.666666666666664,75.0,70.0,22.5,73.33333333333333,54.166666666666664,58.95833333333333,TRUNG BÌNH,TRUNG BÌNH,59.166666666666664,100.0,75.0,58.95833333333333,VERY_ATTRACTIVE,MODERATE,1.0,0.1349594921848989,0.10180119735509652,0.09933487790963835,0.20831459786987394,0.30852518296220777,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,2962003670000000.0,200214302000000.0,200214302000000.0,11783490000000.0,20730462000000.0,26384590000000.0,,2059113306000000.0,1890809553000000.0,7633711502480.986,2026-08-22T16:12:03+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
ACB,Private large,Private,22.75,1.2828644243,1.2828644242999998,8.1264143564,0.1633136228,0.0153965936,0.0288777064,0.0102679363,2026-Q2,0.1097,2025-Q2,0.2970421857,1.2933656682,0.2057579706,2026-Q2,17.7337523506536,17.7337523506536,0.12125,0.05,0.1599852171,1.5436521698245613,1.2851094541460202,1.7874383135,31.014752717796377,27.374745295217842,22.78981280330915,31.69798839367893,24.27791099604118,28.562248230636683,32.84658546523218,0.2554834387093048,51.666666666666664,36.666666666666664,90.0,37.5,50.0,45.0,53.166666666666664,53.06666666666666,TRUNG BÌNH,TRUNG BÌNH,57.5,65.0,90.0,53.06666666666666,VERY_ATTRACTIVE,MODERATE,1.0,0.14386469857973738,0.1767429629514512,0.01620837294776445,-0.12060270931555395,0.1647019800569971,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,1067845075000000.0,99314518000000.0,99314518000000.0,4292478000000.0,7784691000000.0,9142900000000.0,,737693959000000.0,576603602000000.0,5600310415767.12,2026-08-22T16:12:04+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
SHB,Private mid,Private,11.9,0.7277817459,0.7277817459,4.5024779778,0.1724490572,0.0133080516,0.0213857423,0.0207274873,2026-Q2,0.1261,2024-Q2,0.1501498764,1.0566131403,0.0813572597,2026-Q2,16.35105588597039,16.35105588597039,0.14125,0.05,0.1668367929,1.2804032098630138,1.1436512759632442,0.6228729207,23.43426473824207,20.93594444104601,18.69990592733635,10.184629936223303,16.89406252924023,19.875367681459096,22.85667283367796,0.6701989648284954,36.666666666666664,36.666666666666664,40.0,50.0,55.0,95.0,43.666666666666664,52.916666666666664,YẾU,TRUNG BÌNH,53.333333333333336,95.0,40.0,52.916666666666664,VERY_ATTRACTIVE,MODERATE,1.0,0.16585264052650528,0.1094025879624394,0.11135620964295034,-0.02339028308708302,-0.2676114490029764,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,962666652000000.0,75154038000000.0,75154038000000.0,3561597000000.0,6708726000000.0,9720674000000.0,,648330456000000.0,624269133000000.0,4596280419081.928,2026-08-22T16:12:07+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
MSB,Private mid,Private,15.9,1.0860506387,1.0860506387,8.3425972267,0.1368022698,0.0145684537,0.0316796336,0.0252846153,2026-Q2,0.1228,2025-Q2,0.3902061209,1.1257897306,0.2310015999,2026-Q2,14.640201325264412,14.640201325264412,0.1375,0.05,0.14010170235,1.0297337411428569,1.0186145098119113,0.98816918255,15.137540314117071,15.075509281749135,14.912721496481902,14.46699577595396,12.73001404500755,14.976487111773588,17.222960178539626,-0.05808257158656682,53.333333333333336,55.0,30.000000000000004,65.0,80.0,41.666666666666664,56.66666666666667,51.916666666666664,TRUNG BÌNH,TRUNG BÌNH,47.5,30.0,30.0,51.916666666666664,FAIR,MODERATE,1.0,0.29199575652154675,0.14775874359272478,0.17339045083440396,0.010594815966487037,0.1610920448043378,CHÍNH THỨC,ĐỦ ĐIỀU KIỆN PHÁT HÀNH,1.0,0,,0,,True,True,Không phát hiện cảnh báo normalization trọng yếu theo ngưỡng tự động; vẫn cần rà soát analyst trước phát hành.,440998586000000.0,45246509000000.0,45246509000000.0,1250603000000.0,3001236000000.0,3394998000000.0,,227417123000000.0,204674379000000.0,3090566037634.9243,2026-08-22T16:12:09+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,,,,,,,,,,,,,,,,,,
